task,setting,model,accuracy,macro_f1,weighted_f1,mcc,latency_ms_per_msg
binary,ARES_vote_inputs,ARES-V2X-Vote,0.9912961930349268,0.9868934293458231,0.9912518708150801,0.9739385646316623,0.009530122674517336
binary,enhanced_temporal_trust_graph,XGBoost,0.9912252243118569,0.9867769638484275,0.9911772882083809,0.9737282470312424,0.0014127601763463836
binary,enhanced_temporal_trust_graph,HistGradientBoosting,0.9910123181426471,0.986488178012719,0.9909740716820965,0.9730825817523766,0.0049936797280728884
binary,enhanced_temporal_trust_graph,RandomForest,0.990348253662493,0.985465852451596,0.9902990607031893,0.9710833822756574,0.0038555680032639726
binary,ARES_meta_fusion,ARES-MetaFusion,0.9881887768033659,0.9824533231396698,0.9882091181768361,0.9649243719847586,0.009987639782966051
binary,enhanced_temporal_trust_graph,ExtraTrees,0.9872509758199423,0.9808933809437567,0.9872169510971596,0.961828484310925,0.004377629137852207
binary,graph_neighborhood_baseline,GraphNeighborhood,0.9765600446089117,0.9646332430023166,0.9764169954512145,0.9294769594520431,0.001949042935824575
binary,enhanced_temporal_trust_graph,LogisticRegression,0.9756222436254879,0.9633666883610481,0.9755237489218701,0.9268262044948437,0.001984398033010651
binary,enhanced_temporal_trust_graph,MLP,0.9582653216403914,0.9331977746506439,0.9566765465984405,0.8734572421553096,0.0017100435952228385
binary,raw_edge_cloud,RandomForest,0.8756475895980129,0.7759975661134779,0.8617189285157092,0.5922205326117722,0.0030122725198737195
binary,raw_edge_cloud,ExtraTrees,0.8489937648907588,0.7500533321863769,0.8402799279662002,0.5112205526368047,0.003902468697838842
binary,raw_edge_cloud,LogisticRegression,0.8463881989151923,0.7474163971022463,0.838132066344636,0.5045147945879964,0.0012662807319126523
binary,raw_edge_cloud,XGBoost,0.7527905915749987,0.6862247125284919,0.7691446941927905,0.39874750162598577,0.0016836959495894986
binary,raw_edge_cloud,HistGradientBoosting,0.6867592639529578,0.6420640599444885,0.7146340576563278,0.3661426536606294,0.006111296699825909
binary,raw_edge_cloud,MLP,0.6930856186951894,0.6248055085526926,0.7166386258525365,0.28718123902618264,0.001519782531738063
multiclass,ARES_meta_fusion,ARES-MetaFusion,0.8321691083286866,0.8350016796459495,0.8353273251861268,0.7803573522645566,0.044762604552139706
multiclass,enhanced_temporal_trust_graph,RandomForest,0.8193440462310538,0.8197674485084927,0.8200440940951083,0.7609748479775056,0.0032874076139533474
multiclass,enhanced_temporal_trust_graph,ExtraTrees,0.8115628326658894,0.8116396358736775,0.811932606157657,0.7504072641508708,0.00433524661622052
multiclass,ARES_vote_inputs,ARES-V2X-Vote,0.7969888984640341,0.7952846504862179,0.7956083804150934,0.7369061215905232,0.04363833730422845
multiclass,enhanced_temporal_trust_graph,XGBoost,0.7883611294165357,0.7858841343730962,0.7862046871972259,0.7273088475750782,0.0046486368936152715
multiclass,enhanced_temporal_trust_graph,HistGradientBoosting,0.7856845947178993,0.7832612968033268,0.7835614511697071,0.7238375303088578,0.014164184620055803
multiclass,enhanced_temporal_trust_graph,LogisticRegression,0.6539412987276322,0.6583844247736963,0.6580676967970084,0.5403969089133893,0.0010563283823275687
multiclass,graph_neighborhood_baseline,GraphNeighborhood,0.6168195873675673,0.6238944039541848,0.6236573390784796,0.49855753797176716,0.005005966442030349
multiclass,raw_edge_cloud,XGBoost,0.5156790186039438,0.5083731171835163,0.5102535970872508,0.35738759697695277,0.002208990216266141
multiclass,raw_edge_cloud,HistGradientBoosting,0.5190601713387742,0.5071119784110636,0.5082438719268487,0.36461706929843557,0.010800206823111712
multiclass,raw_edge_cloud,RandomForest,0.5228671364120241,0.46404683501378113,0.46358500442588096,0.42413841379173806,0.002744455314936053
multiclass,raw_edge_cloud,MLP,0.4514320474476606,0.4467608785370875,0.4477505953779471,0.27757202932909536,0.001093952958060633
multiclass,hierarchical_binary_meta_plus_attack_expert,ARES-Hierarchical-Meta,0.4516297460333553,0.4218316351857388,0.4189934068182635,0.38158148780242934,0.0
multiclass,enhanced_temporal_trust_graph,MLP,0.42433720281847215,0.3933260324150657,0.3920945162476782,0.3153514197588867,0.0046251893344060446
multiclass,raw_edge_cloud,ExtraTrees,0.4764535915243068,0.38991857542794006,0.38883885954994063,0.3457845822499902,0.005350015207547918
multiclass,raw_edge_cloud,LogisticRegression,0.4273533735489431,0.33969017820287073,0.3387255534760301,0.26849960612545437,0.0006094271809978933
