step,edge_agent,temporal_agent,trust_agent,graph_agent,cloud_agent,ml_fusion_agent
0,0.12068593568623967,0.12783345730165427,0.17770465332427543,0.1921074490367515,0.14414380014380065,0.2375247045072784
1,0.13016727357061947,0.14088197109609177,0.178226383197633,0.1785815764644194,0.14870734603921418,0.22343544963202222
2,0.13775417039077442,0.14873144334623972,0.1787792038971821,0.1719023220983415,0.15098201924294402,0.21185084102451812
3,0.14208129894128368,0.15256266869476973,0.17869273483924258,0.16728555820533986,0.15253698735315702,0.20684075196620708
4,0.14394435699438232,0.15639199170608034,0.17957099702193466,0.16544357683491115,0.1527311859981261,0.20191789144456534
5,0.14633590215423647,0.1584750876024644,0.1790840581876697,0.164828223969993,0.15421206853515204,0.19706465955048452
6,0.14774772115753618,0.15939285081155488,0.17868143693956742,0.1642379544040035,0.15478925051865905,0.19515078616867904
7,0.14802151611646736,0.1582486758137452,0.17577942797346094,0.15990387341814324,0.1567618111668841,0.20128469551129927
8,0.14784934584011236,0.15910721682839307,0.17603073108658565,0.15987612648387595,0.15675015991119218,0.20038641984984087
9,0.1345505423264518,0.13227507807319736,0.15583653198916625,0.18842774061112935,0.15429750886152,0.2346125981385352
