task,setting,model,latency_ms_per_msg,estimated_memory_mb,estimated_edge_cpu_percent,cloud_offload_ratio,comm_overhead_bytes_per_msg
binary,raw_edge_cloud,LogisticRegression,0.0012662807319126523,35,9.013024585530122,0.0,48
binary,raw_edge_cloud,RandomForest,0.0030122725198737195,180,10.409818015898976,0.0,48
binary,raw_edge_cloud,ExtraTrees,0.003902468697838842,180,11.121974958271073,0.0,48
binary,raw_edge_cloud,HistGradientBoosting,0.006111296699825909,140,12.889037359860726,0.0,48
binary,raw_edge_cloud,MLP,0.001519782531738063,120,9.21582602539045,0.0,48
binary,raw_edge_cloud,XGBoost,0.0016836959495894986,220,9.346956759671599,0.0,48
binary,enhanced_temporal_trust_graph,LogisticRegression,0.001984398033010651,35,9.58751842640852,0.35,96
binary,enhanced_temporal_trust_graph,RandomForest,0.0038555680032639726,180,11.084454402611179,0.35,96
binary,enhanced_temporal_trust_graph,ExtraTrees,0.004377629137852207,180,11.502103310281765,0.35,96
binary,enhanced_temporal_trust_graph,HistGradientBoosting,0.0049936797280728884,140,11.99494378245831,0.35,96
binary,enhanced_temporal_trust_graph,MLP,0.0017100435952228385,120,9.368034876178271,0.35,96
binary,enhanced_temporal_trust_graph,XGBoost,0.0014127601763463836,220,9.130208141077107,0.35,96
binary,graph_neighborhood_baseline,GraphNeighborhood,0.001949042935824575,180,9.55923434865966,0.35,128
binary,ARES_vote_inputs,ARES-V2X-Vote,0.009530122674517336,520,15.624098139613869,0.35,128
binary,ARES_meta_fusion,ARES-MetaFusion,0.009987639782966051,520,15.990111826372841,0.35,128
multiclass,raw_edge_cloud,LogisticRegression,0.0006094271809978933,35,8.487541744798314,0.0,48
multiclass,raw_edge_cloud,RandomForest,0.002744455314936053,180,10.195564251948843,0.0,48
multiclass,raw_edge_cloud,ExtraTrees,0.005350015207547918,180,12.280012166038334,0.0,48
multiclass,raw_edge_cloud,HistGradientBoosting,0.010800206823111712,140,16.64016545848937,0.0,48
multiclass,raw_edge_cloud,MLP,0.001093952958060633,120,8.875162366448507,0.0,48
multiclass,raw_edge_cloud,XGBoost,0.002208990216266141,220,9.767192173012912,0.0,48
multiclass,enhanced_temporal_trust_graph,LogisticRegression,0.0010563283823275687,35,8.845062705862055,0.35,96
multiclass,enhanced_temporal_trust_graph,RandomForest,0.0032874076139533474,180,10.629926091162679,0.35,96
multiclass,enhanced_temporal_trust_graph,ExtraTrees,0.00433524661622052,180,11.468197292976416,0.35,96
multiclass,enhanced_temporal_trust_graph,HistGradientBoosting,0.014164184620055803,140,19.331347696044645,0.35,96
multiclass,enhanced_temporal_trust_graph,MLP,0.0046251893344060446,120,11.700151467524837,0.35,96
multiclass,enhanced_temporal_trust_graph,XGBoost,0.0046486368936152715,220,11.718909514892218,0.35,96
multiclass,graph_neighborhood_baseline,GraphNeighborhood,0.005005966442030349,180,12.004773153624278,0.35,128
multiclass,ARES_vote_inputs,ARES-V2X-Vote,0.04363833730422845,520,42.910669843382756,0.35,128
multiclass,ARES_meta_fusion,ARES-MetaFusion,0.044762604552139706,520,43.81008364171176,0.35,128
multiclass,hierarchical_binary_meta_plus_attack_expert,ARES-Hierarchical-Meta,0.0,520,8.0,0.35,128
